#OTU ID,L1S8,L1S57,L1S76,L1S105,L1S140,L1S208,L1S257,L1S281
bacteria195,0,0.001123251,0.00192373,0.003971318,0,0.001926587,0.000837404,0.001854796
bacteria196,0,0,0,0,0,0,0,0
bacteria197,0,0,0,0,0,0,0,0
bacteria198,0,0,0,0,0,0.000101399,0.000139567,0
bacteria199,0.010817308,0.016338201,0.023876881,0.029564258,0.015689513,0.034374366,0.022749477,0.021462639
bacteria200,0.028725962,0.059430205,0.043453661,0.032432432,0.030553262,0.04552829,0.033775297,0.074191839
bacteria201,0.001322115,0.000204228,0.000565803,0.000551572,0.000117966,0.02210505,0.056524773,0.023052464
bacteria202,0.006610577,0.027672828,0.01584248,0.014671815,0.007195942,0.005475563,0.004326588,0.003974563
bacteria203,0,0,0,0,0,0,0,0
bacteria204,0,0,0,0,0,0,0,0
bacteria205,0.002644231,0.004595119,0.002263211,0.006398235,0.000471865,0.006388157,0.003768318,0.002384738
bacteria206,0.000721154,0.002246503,0.00192373,0.002978489,0.002713224,0.000709795,0.000976971,0.001059883
bacteria207,0,0,0,0,0,0,0,0
bacteria208,0.015745192,0.070254263,0.051601222,0.075675676,0.001533561,0.028696005,0.048988137,0.094064653
bacteria209,0,0,0,0,0,0,0,0
bacteria210,0,0,0,0,0,0,0,0
bacteria211,0.000721154,0.00245073,0.014597714,0.000551572,0.013094255,0.009632934,0.011584089,0.021992581
bacteria212,0.000240385,0.000306341,0.000339482,0.000551572,0.005544414,0.000608396,0.000418702,0.000794913
bacteria213,0,0,0,0,0,0,0,0
bacteria214,0,0,0,0,0,0,0,0
bacteria215,0.000120192,0,0,0,0,0,0,0
bacteria216,0,0,0,0,0,0,0,0
bacteria217,0,0,0,0,0,0,0,0
bacteria218,0,0.000102114,0.000113161,0.000110314,0.000353899,0.000101399,0,0
bacteria219,0.018028846,0.025936894,0.042208894,0.041478213,0.106877433,0.07939566,0.065038381,0.069289878
bacteria220,0.000600962,0.058000613,0.067330542,0.067843354,0.00283119,0.007199351,0.002651779,0.031134075
bacteria221,0.010697115,0.013479016,0.011316057,0.009266409,0.021941725,0.015514095,0.026099093,0.014705882
bacteria222,0.001442308,0.012457878,0.000339482,0.000882515,0.002123393,0.008416143,0.021353803,0.032856386
bacteria223,0,0,0,0,0,0,0,0
bacteria224,0,0.000919024,0.000792124,0.000220629,0,0,0,0
bacteria225,0,0,0,0,0,0.000608396,0.000279135,0.000397456
bacteria226,0,0,0,0.000551572,0.001297629,0,0,0
bacteria227,0,0,0,0,0,0,0,0
bacteria228,0,0,0,0,0.000235933,0,0,0
bacteria229,0.069951923,0.051771674,0.018784655,0.017650303,0.031143093,0.0147029,0.012979763,0.011393747
bacteria230,0,0.000102114,0,0,0,0,0,0
bacteria231,0,0,0,0,0,0,0,0
bacteria232,0.000360577,0,0,0.000220629,0.000117966,0.000709795,0.000139567,0
bacteria233,0,0,0,0,0,0,0,0
bacteria234,0,0,0,0,0,0.000304198,0,0
bacteria235,0,0,0,0,0.000235933,0,0,0
bacteria236,0,0,0,0,0,0,0,0
bacteria237,0,0,0,0,0,0.000101399,0,0
bacteria238,0,0,0.000113161,0.000441258,0.000471865,0.000101399,0.000139567,0
bacteria239,0,0,0.000113161,0.000110314,0.001297629,0,0,0
bacteria240,0,0,0,0,0,0,0,0
bacteria241,0,0,0,0,0,0,0,0
bacteria242,0,0,0,0,0,0,0,0
bacteria243,0,0,0,0,0.001297629,0,0.000279135,0.000132485
bacteria244,0,0,0,0,0,0,0,0
bacteria245,0,0,0,0.000661886,0,0,0,0
bacteria246,0,0,0,0.000110314,0,0,0,0.000132485
bacteria247,0,0,0,0,0,0,0,0
bacteria248,0,0.00490146,0.008373883,0.003640375,0.000117966,0.004157372,0.001953943,0.001059883
bacteria249,0,0,0,0,0,0,0,0
bacteria250,0,0,0,0,0,0,0,0
bacteria251,0,0,0,0,0,0,0,0
bacteria252,0,0,0,0,0,0,0,0
bacteria253,0.000120192,0.000714796,0.000452642,0,0,0,0.000558269,0.000529942
bacteria254,0,0,0,0,0,0,0,0
bacteria255,0,0,0,0,0,0,0.000279135,0
bacteria256,0.000360577,0,0.000226321,0.003309432,0,0,0.000139567,0
bacteria257,0,0,0.000226321,0,0,0,0,0
bacteria258,0,0,0,0,0,0,0,0
bacteria259,0,0,0,0,0,0,0,0
bacteria260,0,0,0,0,0,0,0,0
bacteria261,0,0,0,0,0,0,0,0
bacteria262,0,0,0,0,0,0,0,0
bacteria263,0,0,0,0,0,0,0,0
bacteria264,0,0,0,0,0,0,0,0
bacteria265,0,0,0,0,0,0,0,0
bacteria266,0,0,0,0,0,0,0,0
bacteria267,0,0,0,0,0,0,0,0
bacteria268,0,0,0,0,0,0,0,0
bacteria269,0,0,0,0,0,0,0,0
bacteria270,0,0,0,0,0,0,0,0
bacteria271,0,0,0,0,0,0,0,0
bacteria272,0,0,0,0,0,0,0,0
bacteria273,0,0,0,0,0,0,0,0
bacteria274,0,0,0,0,0,0,0,0
bacteria275,0,0,0,0,0,0,0,0
bacteria276,0,0,0,0,0,0,0,0
bacteria277,0,0,0,0,0,0,0,0
bacteria278,0,0,0,0,0,0,0,0.000132485
bacteria279,0,0,0,0,0,0,0,0
bacteria280,0,0,0,0,0,0,0,0
bacteria281,0,0,0,0,0,0,0,0
bacteria282,0,0,0,0.000110314,0,0,0,0
bacteria283,0,0,0,0,0,0,0,0
bacteria284,0,0,0,0,0,0,0,0
bacteria285,0,0,0,0,0,0,0,0
bacteria286,0,0,0,0,0,0,0,0
bacteria287,0,0,0,0,0,0,0,0
bacteria288,0,0,0,0,0,0,0,0
bacteria289,0,0,0,0,0,0,0,0
bacteria290,0,0,0,0,0,0,0,0
bacteria291,0,0,0,0,0,0,0,0
bacteria292,0,0,0,0,0,0,0,0
bacteria293,0,0,0,0,0,0,0,0
bacteria294,0,0,0,0,0,0,0,0
bacteria295,0,0,0,0,0,0,0,0
bacteria296,0,0,0,0,0,0.000101399,0,0
bacteria297,0,0,0,0,0,0,0,0
bacteria298,0,0,0,0,0,0,0,0
bacteria299,0,0,0,0,0,0,0,0
bacteria300,0,0,0,0,0,0,0,0
bacteria301,0,0,0,0,0,0,0,0
bacteria302,0,0,0,0,0,0,0,0
bacteria303,0,0,0,0,0,0,0,0
bacteria304,0,0,0,0,0,0,0,0
bacteria305,0,0,0,0,0,0,0,0
